"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","φD"
"1","1","1u","C1","C0402","","","","","",""
"2","5","100nF","C9,C66,C90,C91,C92","C0402","100nF","","","","",""
"3","2","22uF 10V","C43,C67","C0805","22uF 10V","","","","",""
"4","1","22pF","C45","C0402","22pF","","","","",""
"5","1","100uF/16V","C88","CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD","","100uF/16V","","C9900014364","LCSC",""
"6","1","47UF35V","C89","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD","","47UF35V","","C9900005516","LCSC",""
"7","1","SMAJ28A","D2","SMA_L4.4-W2.8-LS5.4-RD","","SMAJ28A","Littelfuse(美国力特)","C148227","LCSC",""
"8","1","SRV05-4","D3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","SRV05-4","MSKSEMI(美森科)","C2836319","LCSC",""
"9","1","SMF3.3","D4","SOD-123FL_L3.0-W1.9-LS3.7-FD","","SMF3.3","Littelfuse(美国力特)","C2649858","LCSC",""
"10","2","HDR-M_2.54_2x3","H4,H13","HDR-TH_6P-P2.54-V-R2-C3-S2.54_A2541WV-2X3P","","","","C402781","",""
"11","1","B-2100S02P-A110","H7","HDR-TH_2P-P2.54-V-M-1","","B-2100S02P-A110","Ckmtw(灿科盟)","C124375","LCSC",""
"12","1","HDR-M_2.54_1x4P","H9","HDR-TH_4P-P2.54-V-M","","","","C492403","",""
"13","2","HDR-F_2.54_2x2","H15,H16","HDR-TH_4P-P2.54-V-F-R2-C2-S2.54","","","","C92273","",""
"14","2","X6511WV-25H-C60D30","H17,H18","HDR-TH_25P-P2.54-V-M","","X6511WV-25H-C60D30","XKB Connection(中国星坤)","C725957","LCSC",""
"15","1","HDR-M_2.54_1x5P","H19","HDR-TH_5P-P2.54-V-M","","","","C358687","",""
"16","1","HDR-M_2.54_2x4","H20","HDR-TH_8P-P2.54-V-M-R2-C4-S2.54","","","","C124386","",""
"17","1","22uH","L1","IND-SMD_L7.1-W6.6","22uH","YSPI0630A-220M","YJYCOIN(益嘉源)","C497873","LCSC",""
"18","4","WS2812C-2020-V1","LED1,LED2,LED3,LED4","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","","WS2812C-2020-V1","worldsemi","C2976072","LCSC",""
"19","1","LED_0603-B","LED5","LED_0603","","","","","",""
"20","1","KF301-5.0-2P","P1","CONN-TH_P5.00_KF301-5.0-2P","","KF301-5.0-2P","KEFA(科发)","C474881","LCSC",""
"21","1","CJL2301","Q1","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","CJL2301","CJ(江苏长电/长晶)","C504149","LCSC",""
"22","1","NDC7002N","Q2","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","","NDC7002N","UMW(友台半导体)","C404322","LCSC",""
"23","2","5.1K","R12,R13","R0402","5.1K","","","","",""
"24","2","1M","R14,R43","R0402","1M","","","","",""
"25","2","3.3K","R15,R16","R0402","3.3K","","","","",""
"26","1","47K","R17","R0402","47K","","","","",""
"27","1","15K","R18","R0402","15K","","","","",""
"28","1","10K","R38","R0603","10K","","","","",""
"29","1","4.7K","R42","R0402","4.7K","","","","",""
"30","1","10mΩ","R44","RES-SMD_L6.4-W3.2-R2512","10mΩ","HoJLR2512-3W-10mR-1%","Milliohm(毫欧)","C2903468","LCSC",""
"31","4","10K","R45,R46,R47,R48","R0402","10K","","","","",""
"32","1","22Ω","RN1","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","22Ω","YC164-JR-0722RL","YAGEO(国巨)","C107373","LCSC",""
"33","2","SKRPACE010","SW1,SW2","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","","SKRPACE010","ALPSALPINE(阿尔卑斯阿尔派)","C139797","LCSC",""
"34","1","CH32X035C8T6","U9","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","","CH32X035C8T6","WCH(南京沁恒)","C29779902","LCSC",""
"35","1","LGS5148","U19","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","LGS5148","Legend-Si(棱晶半导体)","C5123972","LCSC",""
"36","1","INA226AIDGSR","U20","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","","INA226AIDGSR","TI(德州仪器)","C49851","LCSC",""
"37","1","TYPEC-304-BCP16","USB1","USB-C-SMD_TYPEC-304-BCP16","","TYPEC-304-BCP16","XUNPU(讯普)","C720629","LCSC",""
