"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","1u","C0402","-6.198mm","1.93mm","-6.198mm","1.93mm","-6.583mm","1.545mm","2","T","45","Yes","1u","1u"
"C9","CAP_0402","C0402","-17.069mm","3.048mm","-17.069mm","3.048mm","-17.614mm","3.048mm","2","B","0","Yes","100nF","100nF"
"C43","CAP_0805","C0805","38.456mm","1.372mm","38.456mm","1.372mm","38.456mm","0.372mm","2","B","90","Yes","22uF 10V","22uF 10V"
"C45","CAP_0402","C0402","38.354mm","6.706mm","38.354mm","6.706mm","37.809mm","6.706mm","2","B","0","Yes","22pF","22pF"
"C66","CAP_0402","C0402","33.453mm","1.126mm","33.453mm","1.126mm","33.453mm","1.671mm","2","B","270","Yes","100nF","100nF"
"C67","CAP_0805","C0805","37.44mm","4.216mm","37.44mm","4.216mm","36.44mm","4.216mm","2","B","0","Yes","22uF 10V","22uF 10V"
"C88","100uF/16V-SMD6.3","CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD","48.006mm","9.398mm","48.006mm","9.398mm","46.118mm","11.286mm","2","T","315","Yes","100uF/16V","100uF/16V"
"C89","47UF35V-C_SMD_6.3X5.8","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD","31.75mm","-4.013mm","31.75mm","-4.013mm","34.42mm","-4.013mm","2","T","180","Yes","47UF35V","47UF35V"
"C90","CAP_0402","C0402","42.723mm","1.016mm","42.723mm","1.016mm","43.268mm","1.016mm","2","B","180","Yes","100nF","100nF"
"C91","CAP_0402","C0402","40.386mm","1.727mm","40.386mm","1.727mm","40.386mm","1.182mm","2","B","90","Yes","100nF","100nF"
"D2","SMAJ28A_C148227","SMA_L4.4-W2.8-LS5.4-RD","54.254mm","8.687mm","54.254mm","8.687mm","54.254mm","6.121mm","2","T","90","Yes","SMAJ28A","SMAJ28A"
"D3","SRV05-4_C2836319","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","25.451mm","2.54mm","25.451mm","2.54mm","24.501mm","3.689mm","6","B","0","Yes","SRV05-4","SRV05-4"
"D4","SMF3.3","SOD-123FL_L3.0-W1.9-LS3.7-FD","44.856mm","10.16mm","44.856mm","10.16mm","44.856mm","8.536mm","2","B","90","Yes","SMF3.3","SMF3.3"
